id,twitterName,First Name,Last Name,Political Affiliation
47158291,danmuysforfg,Dan,Muys,Conservative
34606493,JohnNaterMP,John,Nater,Conservative
4104867797,ATherrienBQ,Alain,Therrien,Bloc Québécois
283179858,ScottReidCPC,Scott,Reid,Conservative
876849435820474368,Lianne_Rood,Lianne,Rood,Conservative
1086084557009575936,AlexRuff17,Alex,Ruff,Conservative
256552850,Jamie_Schmale,Jamie,Schmale,Conservative
1198299741060239360,kyleseeback,Kyle,Seeback,Conservative
883774859452579840,DougShipleyBSOM,Doug,Shipley,Conservative
269930134,karen_vecchio,Karen,Vecchio,Conservative
3136229996,GenereuxBernard,Bernard,Généreux,Conservative
943174774154498048,richardmartelpc,Richard,Martel,Conservative
268832287,LucBerthold,Luc,Berthold,Conservative
412708728,PierrePaulHus,Pierre,Paul-Hus,Conservative
414218319,AlainRayes,Alain,Rayes,Conservative
36133644,gerarddeltell,Gérard,Deltell,Conservative
28804785,KellyBlockmp,Kelly,Block,Conservative
3402128080,GillMarilene,Marilène,Gill,Bloc Québécois
564207331,MichaelKramSK,Michael,Kram,Conservative
955157569894404096,BradRedekopp,Brad,Redekopp,Conservative
256360738,AndrewScheer,Andrew,Scheer,Conservative
27079065,ctochor,Corey,Tochor,Conservative
16220555,ElizabethMay,Elizabeth,May,Green Party
336662190,KevinVuongTO,Kevin,Vuong,Independent
16180205,JoyceMurray,Joyce,Murray,Liberal
2852899113,CQualtro,Carla,Qualtrough,Liberal
1162219997977960449,PatrickBWeiler,Patrick,Weiler,Liberal
2322580746,jimcarr_wpg,Jim,Carr,Liberal
171115367,TerryDuguid,Terry,Duguid,Liberal
208750527,Kevin_Lamoureux,Kevin,Lamoureux,Liberal
234550882,stbstvdan,Dan,Vandal,Liberal
720579941184757760,DLeBlancNB,Dominic,LeBlanc,Liberal
436087744,WayneLongSJ,Wayne,Long,Liberal
3341414159,GinettePT,Ginette,Petitpas Taylor,Liberal
240786249,YvonneJJones,Yvonne,Jones,Liberal
3257047456,McDonald4Avalon,Ken,McDonald,Liberal
22849568,SeamusORegan,Seamus,O'Regan,Liberal
500232993,ChurenceRogers,Churence,Rogers,Liberal
1318671397560979456,Joanne_NL,Joanne,Thompson,Liberal
3242606862,MMcLeodNWT,Michael,McLeod,Liberal
1166717268975333376,JaimeBattiste,Jaime,Battiste,Liberal
1171073846335721472,KodyBloisNS,Kody,Blois,Liberal
1304472952482783232,LenaMetlegeDiab,Lena Metlege,Diab,Liberal
158458133,AndyFillmoreHFX,Andy,Fillmore,Liberal
408072407,DarrenFisherNS,Darren,Fisher,Liberal
1072270926,SeanFraserMP,Sean,Fraser,Liberal
1192858611879428097,mikekelloway,Mike,Kelloway,Liberal
2789770741,darrellsamson,Darrell,Samson,Liberal
20199202,OmarAlghabra,Omar,Alghabra,Liberal
578640179,Shafqat_Ali_1,Shafqat,Ali,Liberal
1899063048,gary_srp,Gary,Anandasangaree,Liberal
2327530022,AryaCanada,Chandra,Arya,Liberal
1002181382,VBadawey,Vance,Badawey,Liberal
47692251,Yvan_Baker,Yvan,Baker,Liberal
40550119,Carolyn_Bennett,Carolyn,Bennett,Liberal
2800741820,trudel_denis,Denis,Trudel,Bloc Québécois
417389780,Chris_Bittle,Chris,Bittle,Liberal
714340176,ValBradford_,Valerie,Bradford,Liberal
2937436849,Shaun_Chen,Shaun,Chen,Liberal
272250877,PaulChiangMU,Paul,Chiang,Liberal
803381983,Alduceppe,Alexis,Brunelle-Duceppe,Bloc Québécois
382949896,juliedabrusin,Julie,Dabrusin,Liberal
205786669,PamDamoff,Pam,Damoff,Liberal
1406573892,handongontario,Han,Dong,Liberal
743129088,Francis_Drouin,Francis,Drouin,Liberal
271073165,KirstyDuncanEN,Kirsty,Duncan,Liberal
1942107584,JulieDzerowicz,Julie,Dzerowicz,Liberal
1895316878,AliEhsassi,Ali,Ehsassi,Liberal
4269886099,PeterFonsecaMP,Peter,Fonseca,Liberal
631988630,MonaFortier,Mona,Fortier,Liberal
1957288050,GaryAVidal,Gary,Vidal,Conservative
593944500,pfragiskatos,Peter,Fragiskatos,Liberal
1381435843492085760,IqwinderSGaheer,Iqwinder,Gaheer,Liberal
61521038,karinagould,Karina,Gould,Liberal
360677740,lisahepfner2021,Lisa,Hepfner,Liberal
85428184,markhollandlib,Mark,Holland,Liberal
2891740872,HonAhmedHussen,Ahmed,Hussen,Liberal
47338701,MarciIen,Marci,Ien,Liberal
290162716,HelenaJaczek,Helena,Jaczek,Liberal
2229187188,MajidJowhari,Majid,Jowhari,Liberal
58319221,iamIqraKhalid,Iqra,Khalid,Liberal
274507495,Irek_K,Irek,Kusmierczyk,Liberal
417524720,mflalonde,Marie-France,Lalonde,Liberal
1626700808,cathayw,Cathay,Wagantall,Conservative
415774799,VivianeLapointe,Viviane,LaPointe,Liberal
579377522,LloydLongfield,Lloyd,Longfield,Liberal
2678072299,TimLouisKitCon,Tim,Louis,Liberal
32915303,j_maloney,James,Maloney,Liberal
52080359,_BryanMay,Bryan,May,Liberal
245954929,JohnMcKayLib,John,McKay,Liberal
86384661,Yasir_Naqvi,Yasir,Naqvi,Liberal
29754743,mary_ng,Mary,Ng,Liberal
2983179809,JenOConnell_,Jennifer,O'Connell,Liberal
1203545123356839936,MarcusPowlowski,Marcus,Powlowski,Liberal
170377354,AnthonyRota,Anthony,Rota,Liberal
2332742508,YaaraSaks,Ya'ara,Saks,Liberal
159655782,MarcSerreMP,Marc,Serré,Liberal
3320613061,KevinWaugh_CPC,Kevin,Waugh,Conservative
1390883714,JudySgroMP,Judy A.,Sgro,Liberal
3363252329,TerrySheehanMP,Terry,Sheehan,Liberal
1143342270399373313,MSidhuLiberal,Maninder,Sidhu,Liberal
3188558830,SoniaLiberal,Sonia,Sidhu,Liberal
272185225,fsorbara,Francesco,Sorbara,Liberal
282526718,SvenTrueNorth,Sven,Spengemann,Liberal
2352629420,JennaSudds,Jenna,Sudds,Liberal
4026045455,FilomenaTassi,Filomena,Tassi,Liberal
1144289639924207616,Leah_Taylor_Roy,Leah,Taylor Roy,Liberal
1427258589077508100,rechievaldez,Rechie,Valdez,Liberal
19634262,TonyVanBynen,Tony,Van Bynen,Liberal
43510607,anitavandenbeld,Anita,Vandenbeld,Liberal
524557553,viraniarif,Arif,Virani,Liberal
2513973205,JeanYip3,Jean,Yip,Liberal
2344419362,SalmaZahid15,Salma,Zahid,Liberal
256775505,SeanCaseyLPC,Sean,Casey,Liberal
493488747,L_MacAulay,Lawrence,MacAulay,Liberal
1382336580518621186,ElisabethBriere,Élisabeth,Brière,Liberal
780323935,SophieChatel1,Sophie,Chatel,Liberal
868245382148521984,PatriciaLattan3,Patricia,Lattanzio,Liberal
1170770038208565248,AnnieKoutrakis,Annie,Koutrakis,Liberal
339752726,PascaleStOnge_,Pascale,St-Onge,Liberal
132763075,SorayaMartinezF,Soraya,Martinez Ferrada,Liberal
200100603,ScarpaleggiaLSL,Francis,Scarpaleggia,Liberal
16014404,sbergeron,Stéphane,Bergeron,Bloc Québécois
249221867,AlexandraBrStL,Alexandra,Mendès,Liberal
3187763194,stephanelauzon5,Stéphane,Lauzon,Liberal
1881004363,EmmanuelDubourg,Emmanuel,Dubourg,Liberal
2942312619,YRobillardPLC,Yves,Robillard,Liberal
165812196,stevenmackinnon,Steven,MacKinnon,Liberal
488052222,SherryRomanado,Sherry,Romanado,Liberal
283226685,RachelBendayan,Rachel,Bendayan,Liberal
2874772780,adhillonDLL,Anju,Dhillon,Liberal
45848808,GregFergus,Greg,Fergus,Liberal
1646334073,AHousefather,Anthony,Housefather,Liberal
1360838234,DavidLametti,David,Lametti,Liberal
2242940071,pablorodriguez,Pablo,Rodriguez,Liberal
3142614406,DiLebouthillier,Diane,Lebouthillier,Liberal
2848993491,jyduclos,Jean-Yves,Duclos,Liberal
276713213,s_guilbeault,Steven,Guilbeault,Liberal
911471588,mclaudebibeau,Marie-Claude,Bibeau,Liberal
1707636642,FP_Champagne,François-Philippe,Champagne,Liberal
1424828295309402117,drbrendanhanley,Brendan,Hanley,Liberal
175259033,taylorbachrach,Taylor,Bachrach,NDP
121343164,RABlaney,Rachel,Blaney,NDP
814078628,CanningsNDP,Richard,Cannings,NDP
266855812,r_garrison,Randall,Garrison,NDP
341866567,LoriIdlout,Lori,Idlout,NDP
215632349,CharlieAngusNDP,Charlie,Angus,NDP
17823761,MatthewGreenNDP,Matthew,Green,NDP
60916234,CarolHughesMP,Carol,Hughes,NDP
196717787,alexboulerice,Alexandre,Boulerice,NDP
